,Subject,TrialNumber,AudioStimulus,VisualStimulus,Response,DateTimeOfResponse,ResponseTime
0,35,1,2,0,AddResponse,AddDate,0.0
1,35,2,1,2,AddResponse,AddDate,0.0
2,35,3,0,4,AddResponse,AddDate,0.0
3,35,4,0,2,AddResponse,AddDate,0.0
4,35,5,1,2,AddResponse,AddDate,0.0
5,35,6,2,4,AddResponse,AddDate,0.0
6,35,7,1,3,AddResponse,AddDate,0.0
7,35,8,2,1,AddResponse,AddDate,0.0
8,35,9,0,1,AddResponse,AddDate,0.0
9,35,10,1,2,AddResponse,AddDate,0.0
10,35,11,0,3,AddResponse,AddDate,0.0
11,35,12,0,3,AddResponse,AddDate,0.0
12,35,13,1,4,AddResponse,AddDate,0.0
13,35,14,0,1,AddResponse,AddDate,0.0
14,35,15,2,0,AddResponse,AddDate,0.0
15,35,16,0,2,AddResponse,AddDate,0.0
16,35,17,1,2,AddResponse,AddDate,0.0
17,35,18,1,1,AddResponse,AddDate,0.0
18,35,19,2,4,AddResponse,AddDate,0.0
19,35,20,0,0,AddResponse,AddDate,0.0
20,35,21,2,1,AddResponse,AddDate,0.0
21,35,22,1,3,AddResponse,AddDate,0.0
22,35,23,1,2,AddResponse,AddDate,0.0
23,35,24,2,2,AddResponse,AddDate,0.0
24,35,25,1,3,AddResponse,AddDate,0.0
25,35,26,0,4,AddResponse,AddDate,0.0
26,35,27,0,4,AddResponse,AddDate,0.0
27,35,28,0,2,AddResponse,AddDate,0.0
28,35,29,1,3,AddResponse,AddDate,0.0
29,35,30,2,1,AddResponse,AddDate,0.0
30,35,31,2,3,AddResponse,AddDate,0.0
31,35,32,0,0,AddResponse,AddDate,0.0
32,35,33,0,2,AddResponse,AddDate,0.0
33,35,34,0,3,AddResponse,AddDate,0.0
34,35,35,1,0,AddResponse,AddDate,0.0
35,35,36,2,3,AddResponse,AddDate,0.0
36,35,37,0,4,AddResponse,AddDate,0.0
37,35,38,0,0,AddResponse,AddDate,0.0
38,35,39,2,0,AddResponse,AddDate,0.0
39,35,40,0,2,AddResponse,AddDate,0.0
40,35,41,1,0,AddResponse,AddDate,0.0
41,35,42,1,0,AddResponse,AddDate,0.0
42,35,43,0,4,AddResponse,AddDate,0.0
43,35,44,2,3,AddResponse,AddDate,0.0
44,35,45,1,4,AddResponse,AddDate,0.0
45,35,46,1,1,AddResponse,AddDate,0.0
46,35,47,1,4,AddResponse,AddDate,0.0
47,35,48,2,2,AddResponse,AddDate,0.0
48,35,49,1,0,AddResponse,AddDate,0.0
49,35,50,2,0,AddResponse,AddDate,0.0
50,35,51,2,1,AddResponse,AddDate,0.0
51,35,52,2,2,AddResponse,AddDate,0.0
52,35,53,2,2,AddResponse,AddDate,0.0
53,35,54,1,1,AddResponse,AddDate,0.0
54,35,55,0,0,AddResponse,AddDate,0.0
55,35,56,2,4,AddResponse,AddDate,0.0
56,35,57,1,2,AddResponse,AddDate,0.0
57,35,58,2,4,AddResponse,AddDate,0.0
58,35,59,0,3,AddResponse,AddDate,0.0
59,35,60,2,3,AddResponse,AddDate,0.0
60,35,61,2,1,AddResponse,AddDate,0.0
61,35,62,0,0,AddResponse,AddDate,0.0
62,35,63,1,4,AddResponse,AddDate,0.0
63,35,64,2,3,AddResponse,AddDate,0.0
64,35,65,1,1,AddResponse,AddDate,0.0
65,35,66,2,0,AddResponse,AddDate,0.0
66,35,67,1,4,AddResponse,AddDate,0.0
67,35,68,0,1,AddResponse,AddDate,0.0
68,35,69,0,3,AddResponse,AddDate,0.0
69,35,70,0,1,AddResponse,AddDate,0.0
70,35,71,0,1,AddResponse,AddDate,0.0
71,35,72,2,0,AddResponse,AddDate,0.0
72,35,73,2,4,AddResponse,AddDate,0.0
73,35,74,0,4,AddResponse,AddDate,0.0
74,35,75,1,0,AddResponse,AddDate,0.0
75,35,76,1,1,AddResponse,AddDate,0.0
76,35,77,1,3,AddResponse,AddDate,0.0
77,35,78,2,2,AddResponse,AddDate,0.0
