,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,26,1,AC,AddResponse,AddConfidence,AddDate
1,26,2,BD,AddResponse,AddConfidence,AddDate
2,26,3,BA,AddResponse,AddConfidence,AddDate
3,26,4,BC,AddResponse,AddConfidence,AddDate
4,26,5,CE,AddResponse,AddConfidence,AddDate
5,26,6,AC,AddResponse,AddConfidence,AddDate
6,26,7,AE,AddResponse,AddConfidence,AddDate
7,26,8,AE,AddResponse,AddConfidence,AddDate
8,26,9,BC,AddResponse,AddConfidence,AddDate
9,26,10,DE,AddResponse,AddConfidence,AddDate
10,26,11,BA,AddResponse,AddConfidence,AddDate
11,26,12,BE,AddResponse,AddConfidence,AddDate
12,26,13,BE,AddResponse,AddConfidence,AddDate
13,26,14,DE,AddResponse,AddConfidence,AddDate
14,26,15,CE,AddResponse,AddConfidence,AddDate
15,26,16,CD,AddResponse,AddConfidence,AddDate
16,26,17,BA,AddResponse,AddConfidence,AddDate
17,26,18,AD,AddResponse,AddConfidence,AddDate
18,26,19,CE,AddResponse,AddConfidence,AddDate
19,26,20,BD,AddResponse,AddConfidence,AddDate
20,26,21,CD,AddResponse,AddConfidence,AddDate
21,26,22,BD,AddResponse,AddConfidence,AddDate
22,26,23,AB,AddResponse,AddConfidence,AddDate
23,26,24,BE,AddResponse,AddConfidence,AddDate
24,26,25,AE,AddResponse,AddConfidence,AddDate
25,26,26,AD,AddResponse,AddConfidence,AddDate
26,26,27,AE,AddResponse,AddConfidence,AddDate
27,26,28,BC,AddResponse,AddConfidence,AddDate
28,26,29,CD,AddResponse,AddConfidence,AddDate
29,26,30,CD,AddResponse,AddConfidence,AddDate
30,26,31,DE,AddResponse,AddConfidence,AddDate
31,26,32,BE,AddResponse,AddConfidence,AddDate
32,26,33,DE,AddResponse,AddConfidence,AddDate
33,26,34,AC,AddResponse,AddConfidence,AddDate
34,26,35,CE,AddResponse,AddConfidence,AddDate
35,26,36,CE,AddResponse,AddConfidence,AddDate
36,26,37,AC,AddResponse,AddConfidence,AddDate
37,26,38,AD,AddResponse,AddConfidence,AddDate
38,26,39,BD,AddResponse,AddConfidence,AddDate
39,26,40,BD,AddResponse,AddConfidence,AddDate
40,26,41,BC,AddResponse,AddConfidence,AddDate
41,26,42,BE,AddResponse,AddConfidence,AddDate
42,26,43,DE,AddResponse,AddConfidence,AddDate
43,26,44,BA,AddResponse,AddConfidence,AddDate
44,26,45,AD,AddResponse,AddConfidence,AddDate
45,26,46,AE,AddResponse,AddConfidence,AddDate
46,26,47,BE,AddResponse,AddConfidence,AddDate
47,26,48,AC,AddResponse,AddConfidence,AddDate
48,26,49,CE,AddResponse,AddConfidence,AddDate
49,26,50,AB,AddResponse,AddConfidence,AddDate
50,26,51,DE,AddResponse,AddConfidence,AddDate
51,26,52,AC,AddResponse,AddConfidence,AddDate
52,26,53,CD,AddResponse,AddConfidence,AddDate
53,26,54,BD,AddResponse,AddConfidence,AddDate
54,26,55,AD,AddResponse,AddConfidence,AddDate
55,26,56,BC,AddResponse,AddConfidence,AddDate
56,26,57,CD,AddResponse,AddConfidence,AddDate
57,26,58,BD,AddResponse,AddConfidence,AddDate
58,26,59,BC,AddResponse,AddConfidence,AddDate
59,26,60,AD,AddResponse,AddConfidence,AddDate
60,26,61,AC,AddResponse,AddConfidence,AddDate
61,26,62,AB,AddResponse,AddConfidence,AddDate
62,26,63,AE,AddResponse,AddConfidence,AddDate
