,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,32,1,AC,AddResponse,AddConfidence,AddDate
1,32,2,BD,AddResponse,AddConfidence,AddDate
2,32,3,BA,AddResponse,AddConfidence,AddDate
3,32,4,AE,AddResponse,AddConfidence,AddDate
4,32,5,BE,AddResponse,AddConfidence,AddDate
5,32,6,AC,AddResponse,AddConfidence,AddDate
6,32,7,BE,AddResponse,AddConfidence,AddDate
7,32,8,AB,AddResponse,AddConfidence,AddDate
8,32,9,AC,AddResponse,AddConfidence,AddDate
9,32,10,CE,AddResponse,AddConfidence,AddDate
10,32,11,AB,AddResponse,AddConfidence,AddDate
11,32,12,AE,AddResponse,AddConfidence,AddDate
12,32,13,CE,AddResponse,AddConfidence,AddDate
13,32,14,BE,AddResponse,AddConfidence,AddDate
14,32,15,BE,AddResponse,AddConfidence,AddDate
15,32,16,AC,AddResponse,AddConfidence,AddDate
16,32,17,DE,AddResponse,AddConfidence,AddDate
17,32,18,BD,AddResponse,AddConfidence,AddDate
18,32,19,CD,AddResponse,AddConfidence,AddDate
19,32,20,BD,AddResponse,AddConfidence,AddDate
20,32,21,DE,AddResponse,AddConfidence,AddDate
21,32,22,CE,AddResponse,AddConfidence,AddDate
22,32,23,BE,AddResponse,AddConfidence,AddDate
23,32,24,BA,AddResponse,AddConfidence,AddDate
24,32,25,BC,AddResponse,AddConfidence,AddDate
25,32,26,AE,AddResponse,AddConfidence,AddDate
26,32,27,CD,AddResponse,AddConfidence,AddDate
27,32,28,DE,AddResponse,AddConfidence,AddDate
28,32,29,BC,AddResponse,AddConfidence,AddDate
29,32,30,BC,AddResponse,AddConfidence,AddDate
30,32,31,BC,AddResponse,AddConfidence,AddDate
31,32,32,AC,AddResponse,AddConfidence,AddDate
32,32,33,BE,AddResponse,AddConfidence,AddDate
33,32,34,AD,AddResponse,AddConfidence,AddDate
34,32,35,BC,AddResponse,AddConfidence,AddDate
35,32,36,AB,AddResponse,AddConfidence,AddDate
36,32,37,DE,AddResponse,AddConfidence,AddDate
37,32,38,BA,AddResponse,AddConfidence,AddDate
38,32,39,DE,AddResponse,AddConfidence,AddDate
39,32,40,CD,AddResponse,AddConfidence,AddDate
40,32,41,AC,AddResponse,AddConfidence,AddDate
41,32,42,BD,AddResponse,AddConfidence,AddDate
42,32,43,CD,AddResponse,AddConfidence,AddDate
43,32,44,BD,AddResponse,AddConfidence,AddDate
44,32,45,AD,AddResponse,AddConfidence,AddDate
45,32,46,AE,AddResponse,AddConfidence,AddDate
46,32,47,AD,AddResponse,AddConfidence,AddDate
47,32,48,AC,AddResponse,AddConfidence,AddDate
48,32,49,AE,AddResponse,AddConfidence,AddDate
49,32,50,CD,AddResponse,AddConfidence,AddDate
50,32,51,AD,AddResponse,AddConfidence,AddDate
51,32,52,BA,AddResponse,AddConfidence,AddDate
52,32,53,DE,AddResponse,AddConfidence,AddDate
53,32,54,AE,AddResponse,AddConfidence,AddDate
54,32,55,CE,AddResponse,AddConfidence,AddDate
55,32,56,BD,AddResponse,AddConfidence,AddDate
56,32,57,BD,AddResponse,AddConfidence,AddDate
57,32,58,CD,AddResponse,AddConfidence,AddDate
58,32,59,AD,AddResponse,AddConfidence,AddDate
59,32,60,CE,AddResponse,AddConfidence,AddDate
60,32,61,BC,AddResponse,AddConfidence,AddDate
61,32,62,CE,AddResponse,AddConfidence,AddDate
62,32,63,AD,AddResponse,AddConfidence,AddDate
