,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,16,1,AC,AddResponse,AddConfidence,AddDate
1,16,2,BD,AddResponse,AddConfidence,AddDate
2,16,3,BA,AddResponse,AddConfidence,AddDate
3,16,4,BC,AddResponse,AddConfidence,AddDate
4,16,5,AD,AddResponse,AddConfidence,AddDate
5,16,6,AD,AddResponse,AddConfidence,AddDate
6,16,7,BA,AddResponse,AddConfidence,AddDate
7,16,8,CE,AddResponse,AddConfidence,AddDate
8,16,9,CD,AddResponse,AddConfidence,AddDate
9,16,10,BE,AddResponse,AddConfidence,AddDate
10,16,11,BE,AddResponse,AddConfidence,AddDate
11,16,12,AD,AddResponse,AddConfidence,AddDate
12,16,13,BC,AddResponse,AddConfidence,AddDate
13,16,14,BD,AddResponse,AddConfidence,AddDate
14,16,15,AB,AddResponse,AddConfidence,AddDate
15,16,16,AD,AddResponse,AddConfidence,AddDate
16,16,17,BE,AddResponse,AddConfidence,AddDate
17,16,18,BD,AddResponse,AddConfidence,AddDate
18,16,19,AB,AddResponse,AddConfidence,AddDate
19,16,20,BC,AddResponse,AddConfidence,AddDate
20,16,21,CD,AddResponse,AddConfidence,AddDate
21,16,22,AE,AddResponse,AddConfidence,AddDate
22,16,23,BE,AddResponse,AddConfidence,AddDate
23,16,24,CD,AddResponse,AddConfidence,AddDate
24,16,25,AE,AddResponse,AddConfidence,AddDate
25,16,26,AB,AddResponse,AddConfidence,AddDate
26,16,27,AC,AddResponse,AddConfidence,AddDate
27,16,28,AE,AddResponse,AddConfidence,AddDate
28,16,29,DE,AddResponse,AddConfidence,AddDate
29,16,30,AC,AddResponse,AddConfidence,AddDate
30,16,31,BE,AddResponse,AddConfidence,AddDate
31,16,32,AD,AddResponse,AddConfidence,AddDate
32,16,33,CD,AddResponse,AddConfidence,AddDate
33,16,34,BD,AddResponse,AddConfidence,AddDate
34,16,35,CE,AddResponse,AddConfidence,AddDate
35,16,36,AC,AddResponse,AddConfidence,AddDate
36,16,37,CE,AddResponse,AddConfidence,AddDate
37,16,38,BD,AddResponse,AddConfidence,AddDate
38,16,39,DE,AddResponse,AddConfidence,AddDate
39,16,40,CD,AddResponse,AddConfidence,AddDate
40,16,41,AC,AddResponse,AddConfidence,AddDate
41,16,42,CE,AddResponse,AddConfidence,AddDate
42,16,43,AE,AddResponse,AddConfidence,AddDate
43,16,44,CD,AddResponse,AddConfidence,AddDate
44,16,45,DE,AddResponse,AddConfidence,AddDate
45,16,46,DE,AddResponse,AddConfidence,AddDate
46,16,47,DE,AddResponse,AddConfidence,AddDate
47,16,48,AC,AddResponse,AddConfidence,AddDate
48,16,49,BA,AddResponse,AddConfidence,AddDate
49,16,50,BE,AddResponse,AddConfidence,AddDate
50,16,51,CE,AddResponse,AddConfidence,AddDate
51,16,52,BC,AddResponse,AddConfidence,AddDate
52,16,53,BC,AddResponse,AddConfidence,AddDate
53,16,54,AE,AddResponse,AddConfidence,AddDate
54,16,55,BD,AddResponse,AddConfidence,AddDate
55,16,56,BD,AddResponse,AddConfidence,AddDate
56,16,57,AC,AddResponse,AddConfidence,AddDate
57,16,58,AE,AddResponse,AddConfidence,AddDate
58,16,59,AD,AddResponse,AddConfidence,AddDate
59,16,60,BA,AddResponse,AddConfidence,AddDate
60,16,61,BC,AddResponse,AddConfidence,AddDate
61,16,62,DE,AddResponse,AddConfidence,AddDate
62,16,63,CE,AddResponse,AddConfidence,AddDate
