,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,3,1,AC,AddResponse,AddConfidence,AddDate
1,3,2,BD,AddResponse,AddConfidence,AddDate
2,3,3,BA,AddResponse,AddConfidence,AddDate
3,3,4,AE,AddResponse,AddConfidence,AddDate
4,3,5,CD,AddResponse,AddConfidence,AddDate
5,3,6,AB,AddResponse,AddConfidence,AddDate
6,3,7,CD,AddResponse,AddConfidence,AddDate
7,3,8,BC,AddResponse,AddConfidence,AddDate
8,3,9,BA,AddResponse,AddConfidence,AddDate
9,3,10,BA,AddResponse,AddConfidence,AddDate
10,3,11,BE,AddResponse,AddConfidence,AddDate
11,3,12,AC,AddResponse,AddConfidence,AddDate
12,3,13,AE,AddResponse,AddConfidence,AddDate
13,3,14,BD,AddResponse,AddConfidence,AddDate
14,3,15,BE,AddResponse,AddConfidence,AddDate
15,3,16,CE,AddResponse,AddConfidence,AddDate
16,3,17,BC,AddResponse,AddConfidence,AddDate
17,3,18,CE,AddResponse,AddConfidence,AddDate
18,3,19,AD,AddResponse,AddConfidence,AddDate
19,3,20,BE,AddResponse,AddConfidence,AddDate
20,3,21,AC,AddResponse,AddConfidence,AddDate
21,3,22,BD,AddResponse,AddConfidence,AddDate
22,3,23,AE,AddResponse,AddConfidence,AddDate
23,3,24,BD,AddResponse,AddConfidence,AddDate
24,3,25,BD,AddResponse,AddConfidence,AddDate
25,3,26,DE,AddResponse,AddConfidence,AddDate
26,3,27,AD,AddResponse,AddConfidence,AddDate
27,3,28,AC,AddResponse,AddConfidence,AddDate
28,3,29,AC,AddResponse,AddConfidence,AddDate
29,3,30,BD,AddResponse,AddConfidence,AddDate
30,3,31,CD,AddResponse,AddConfidence,AddDate
31,3,32,CE,AddResponse,AddConfidence,AddDate
32,3,33,CD,AddResponse,AddConfidence,AddDate
33,3,34,AD,AddResponse,AddConfidence,AddDate
34,3,35,BE,AddResponse,AddConfidence,AddDate
35,3,36,DE,AddResponse,AddConfidence,AddDate
36,3,37,BE,AddResponse,AddConfidence,AddDate
37,3,38,AE,AddResponse,AddConfidence,AddDate
38,3,39,DE,AddResponse,AddConfidence,AddDate
39,3,40,AD,AddResponse,AddConfidence,AddDate
40,3,41,AC,AddResponse,AddConfidence,AddDate
41,3,42,AD,AddResponse,AddConfidence,AddDate
42,3,43,AE,AddResponse,AddConfidence,AddDate
43,3,44,DE,AddResponse,AddConfidence,AddDate
44,3,45,CE,AddResponse,AddConfidence,AddDate
45,3,46,AD,AddResponse,AddConfidence,AddDate
46,3,47,AE,AddResponse,AddConfidence,AddDate
47,3,48,BA,AddResponse,AddConfidence,AddDate
48,3,49,DE,AddResponse,AddConfidence,AddDate
49,3,50,BC,AddResponse,AddConfidence,AddDate
50,3,51,CE,AddResponse,AddConfidence,AddDate
51,3,52,AB,AddResponse,AddConfidence,AddDate
52,3,53,CE,AddResponse,AddConfidence,AddDate
53,3,54,BE,AddResponse,AddConfidence,AddDate
54,3,55,BC,AddResponse,AddConfidence,AddDate
55,3,56,DE,AddResponse,AddConfidence,AddDate
56,3,57,BC,AddResponse,AddConfidence,AddDate
57,3,58,BD,AddResponse,AddConfidence,AddDate
58,3,59,BC,AddResponse,AddConfidence,AddDate
59,3,60,AC,AddResponse,AddConfidence,AddDate
60,3,61,CD,AddResponse,AddConfidence,AddDate
61,3,62,AB,AddResponse,AddConfidence,AddDate
62,3,63,CD,AddResponse,AddConfidence,AddDate
