,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,38,1,AC,AddResponse,AddConfidence,AddDate
1,38,2,BD,AddResponse,AddConfidence,AddDate
2,38,3,BA,AddResponse,AddConfidence,AddDate
3,38,4,DE,AddResponse,AddConfidence,AddDate
4,38,5,BE,AddResponse,AddConfidence,AddDate
5,38,6,BA,AddResponse,AddConfidence,AddDate
6,38,7,AC,AddResponse,AddConfidence,AddDate
7,38,8,AC,AddResponse,AddConfidence,AddDate
8,38,9,BE,AddResponse,AddConfidence,AddDate
9,38,10,DE,AddResponse,AddConfidence,AddDate
10,38,11,AC,AddResponse,AddConfidence,AddDate
11,38,12,BD,AddResponse,AddConfidence,AddDate
12,38,13,BC,AddResponse,AddConfidence,AddDate
13,38,14,BA,AddResponse,AddConfidence,AddDate
14,38,15,BE,AddResponse,AddConfidence,AddDate
15,38,16,AD,AddResponse,AddConfidence,AddDate
16,38,17,CE,AddResponse,AddConfidence,AddDate
17,38,18,CD,AddResponse,AddConfidence,AddDate
18,38,19,CD,AddResponse,AddConfidence,AddDate
19,38,20,AD,AddResponse,AddConfidence,AddDate
20,38,21,AD,AddResponse,AddConfidence,AddDate
21,38,22,DE,AddResponse,AddConfidence,AddDate
22,38,23,DE,AddResponse,AddConfidence,AddDate
23,38,24,CE,AddResponse,AddConfidence,AddDate
24,38,25,AC,AddResponse,AddConfidence,AddDate
25,38,26,AE,AddResponse,AddConfidence,AddDate
26,38,27,BE,AddResponse,AddConfidence,AddDate
27,38,28,BD,AddResponse,AddConfidence,AddDate
28,38,29,BD,AddResponse,AddConfidence,AddDate
29,38,30,BE,AddResponse,AddConfidence,AddDate
30,38,31,CD,AddResponse,AddConfidence,AddDate
31,38,32,CD,AddResponse,AddConfidence,AddDate
32,38,33,AB,AddResponse,AddConfidence,AddDate
33,38,34,CE,AddResponse,AddConfidence,AddDate
34,38,35,AD,AddResponse,AddConfidence,AddDate
35,38,36,BD,AddResponse,AddConfidence,AddDate
36,38,37,CD,AddResponse,AddConfidence,AddDate
37,38,38,BD,AddResponse,AddConfidence,AddDate
38,38,39,AB,AddResponse,AddConfidence,AddDate
39,38,40,AE,AddResponse,AddConfidence,AddDate
40,38,41,CE,AddResponse,AddConfidence,AddDate
41,38,42,AE,AddResponse,AddConfidence,AddDate
42,38,43,CD,AddResponse,AddConfidence,AddDate
43,38,44,AD,AddResponse,AddConfidence,AddDate
44,38,45,AB,AddResponse,AddConfidence,AddDate
45,38,46,AC,AddResponse,AddConfidence,AddDate
46,38,47,DE,AddResponse,AddConfidence,AddDate
47,38,48,BC,AddResponse,AddConfidence,AddDate
48,38,49,BC,AddResponse,AddConfidence,AddDate
49,38,50,AC,AddResponse,AddConfidence,AddDate
50,38,51,BA,AddResponse,AddConfidence,AddDate
51,38,52,CE,AddResponse,AddConfidence,AddDate
52,38,53,AE,AddResponse,AddConfidence,AddDate
53,38,54,BD,AddResponse,AddConfidence,AddDate
54,38,55,DE,AddResponse,AddConfidence,AddDate
55,38,56,AE,AddResponse,AddConfidence,AddDate
56,38,57,BC,AddResponse,AddConfidence,AddDate
57,38,58,AE,AddResponse,AddConfidence,AddDate
58,38,59,BC,AddResponse,AddConfidence,AddDate
59,38,60,BE,AddResponse,AddConfidence,AddDate
60,38,61,AD,AddResponse,AddConfidence,AddDate
61,38,62,CE,AddResponse,AddConfidence,AddDate
62,38,63,BC,AddResponse,AddConfidence,AddDate
