,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,7,1,AC,AddResponse,AddConfidence,AddDate
1,7,2,BD,AddResponse,AddConfidence,AddDate
2,7,3,BA,AddResponse,AddConfidence,AddDate
3,7,4,BC,AddResponse,AddConfidence,AddDate
4,7,5,AE,AddResponse,AddConfidence,AddDate
5,7,6,CE,AddResponse,AddConfidence,AddDate
6,7,7,DE,AddResponse,AddConfidence,AddDate
7,7,8,BE,AddResponse,AddConfidence,AddDate
8,7,9,CE,AddResponse,AddConfidence,AddDate
9,7,10,BD,AddResponse,AddConfidence,AddDate
10,7,11,AE,AddResponse,AddConfidence,AddDate
11,7,12,CD,AddResponse,AddConfidence,AddDate
12,7,13,AE,AddResponse,AddConfidence,AddDate
13,7,14,AC,AddResponse,AddConfidence,AddDate
14,7,15,BE,AddResponse,AddConfidence,AddDate
15,7,16,AE,AddResponse,AddConfidence,AddDate
16,7,17,DE,AddResponse,AddConfidence,AddDate
17,7,18,BE,AddResponse,AddConfidence,AddDate
18,7,19,BD,AddResponse,AddConfidence,AddDate
19,7,20,CE,AddResponse,AddConfidence,AddDate
20,7,21,CE,AddResponse,AddConfidence,AddDate
21,7,22,AB,AddResponse,AddConfidence,AddDate
22,7,23,BD,AddResponse,AddConfidence,AddDate
23,7,24,BC,AddResponse,AddConfidence,AddDate
24,7,25,BC,AddResponse,AddConfidence,AddDate
25,7,26,AD,AddResponse,AddConfidence,AddDate
26,7,27,AD,AddResponse,AddConfidence,AddDate
27,7,28,DE,AddResponse,AddConfidence,AddDate
28,7,29,AD,AddResponse,AddConfidence,AddDate
29,7,30,BD,AddResponse,AddConfidence,AddDate
30,7,31,BD,AddResponse,AddConfidence,AddDate
31,7,32,CD,AddResponse,AddConfidence,AddDate
32,7,33,AD,AddResponse,AddConfidence,AddDate
33,7,34,BC,AddResponse,AddConfidence,AddDate
34,7,35,BA,AddResponse,AddConfidence,AddDate
35,7,36,AC,AddResponse,AddConfidence,AddDate
36,7,37,AD,AddResponse,AddConfidence,AddDate
37,7,38,AC,AddResponse,AddConfidence,AddDate
38,7,39,CD,AddResponse,AddConfidence,AddDate
39,7,40,CD,AddResponse,AddConfidence,AddDate
40,7,41,BC,AddResponse,AddConfidence,AddDate
41,7,42,CE,AddResponse,AddConfidence,AddDate
42,7,43,CD,AddResponse,AddConfidence,AddDate
43,7,44,BA,AddResponse,AddConfidence,AddDate
44,7,45,CE,AddResponse,AddConfidence,AddDate
45,7,46,AC,AddResponse,AddConfidence,AddDate
46,7,47,AE,AddResponse,AddConfidence,AddDate
47,7,48,BE,AddResponse,AddConfidence,AddDate
48,7,49,BD,AddResponse,AddConfidence,AddDate
49,7,50,CD,AddResponse,AddConfidence,AddDate
50,7,51,AB,AddResponse,AddConfidence,AddDate
51,7,52,AC,AddResponse,AddConfidence,AddDate
52,7,53,AE,AddResponse,AddConfidence,AddDate
53,7,54,BA,AddResponse,AddConfidence,AddDate
54,7,55,AD,AddResponse,AddConfidence,AddDate
55,7,56,DE,AddResponse,AddConfidence,AddDate
56,7,57,DE,AddResponse,AddConfidence,AddDate
57,7,58,BC,AddResponse,AddConfidence,AddDate
58,7,59,DE,AddResponse,AddConfidence,AddDate
59,7,60,BE,AddResponse,AddConfidence,AddDate
60,7,61,BE,AddResponse,AddConfidence,AddDate
61,7,62,AB,AddResponse,AddConfidence,AddDate
62,7,63,AC,AddResponse,AddConfidence,AddDate
