,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,47,1,AC,AddResponse,AddConfidence,AddDate
1,47,2,BD,AddResponse,AddConfidence,AddDate
2,47,3,BA,AddResponse,AddConfidence,AddDate
3,47,4,BA,AddResponse,AddConfidence,AddDate
4,47,5,AE,AddResponse,AddConfidence,AddDate
5,47,6,CD,AddResponse,AddConfidence,AddDate
6,47,7,AB,AddResponse,AddConfidence,AddDate
7,47,8,BC,AddResponse,AddConfidence,AddDate
8,47,9,CD,AddResponse,AddConfidence,AddDate
9,47,10,AC,AddResponse,AddConfidence,AddDate
10,47,11,BD,AddResponse,AddConfidence,AddDate
11,47,12,AD,AddResponse,AddConfidence,AddDate
12,47,13,AD,AddResponse,AddConfidence,AddDate
13,47,14,AD,AddResponse,AddConfidence,AddDate
14,47,15,AE,AddResponse,AddConfidence,AddDate
15,47,16,BD,AddResponse,AddConfidence,AddDate
16,47,17,BE,AddResponse,AddConfidence,AddDate
17,47,18,BD,AddResponse,AddConfidence,AddDate
18,47,19,AD,AddResponse,AddConfidence,AddDate
19,47,20,BE,AddResponse,AddConfidence,AddDate
20,47,21,AE,AddResponse,AddConfidence,AddDate
21,47,22,AC,AddResponse,AddConfidence,AddDate
22,47,23,DE,AddResponse,AddConfidence,AddDate
23,47,24,BD,AddResponse,AddConfidence,AddDate
24,47,25,AC,AddResponse,AddConfidence,AddDate
25,47,26,BE,AddResponse,AddConfidence,AddDate
26,47,27,DE,AddResponse,AddConfidence,AddDate
27,47,28,DE,AddResponse,AddConfidence,AddDate
28,47,29,BC,AddResponse,AddConfidence,AddDate
29,47,30,BE,AddResponse,AddConfidence,AddDate
30,47,31,BC,AddResponse,AddConfidence,AddDate
31,47,32,CD,AddResponse,AddConfidence,AddDate
32,47,33,AC,AddResponse,AddConfidence,AddDate
33,47,34,BD,AddResponse,AddConfidence,AddDate
34,47,35,CE,AddResponse,AddConfidence,AddDate
35,47,36,BA,AddResponse,AddConfidence,AddDate
36,47,37,CE,AddResponse,AddConfidence,AddDate
37,47,38,CE,AddResponse,AddConfidence,AddDate
38,47,39,AE,AddResponse,AddConfidence,AddDate
39,47,40,BE,AddResponse,AddConfidence,AddDate
40,47,41,BC,AddResponse,AddConfidence,AddDate
41,47,42,DE,AddResponse,AddConfidence,AddDate
42,47,43,AC,AddResponse,AddConfidence,AddDate
43,47,44,AD,AddResponse,AddConfidence,AddDate
44,47,45,AB,AddResponse,AddConfidence,AddDate
45,47,46,CE,AddResponse,AddConfidence,AddDate
46,47,47,BC,AddResponse,AddConfidence,AddDate
47,47,48,DE,AddResponse,AddConfidence,AddDate
48,47,49,AE,AddResponse,AddConfidence,AddDate
49,47,50,DE,AddResponse,AddConfidence,AddDate
50,47,51,CD,AddResponse,AddConfidence,AddDate
51,47,52,CE,AddResponse,AddConfidence,AddDate
52,47,53,AD,AddResponse,AddConfidence,AddDate
53,47,54,BC,AddResponse,AddConfidence,AddDate
54,47,55,CD,AddResponse,AddConfidence,AddDate
55,47,56,CD,AddResponse,AddConfidence,AddDate
56,47,57,CE,AddResponse,AddConfidence,AddDate
57,47,58,AC,AddResponse,AddConfidence,AddDate
58,47,59,BE,AddResponse,AddConfidence,AddDate
59,47,60,AB,AddResponse,AddConfidence,AddDate
60,47,61,AE,AddResponse,AddConfidence,AddDate
61,47,62,BD,AddResponse,AddConfidence,AddDate
62,47,63,BA,AddResponse,AddConfidence,AddDate
