,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,30,1,AC,AddResponse,AddConfidence,AddDate
1,30,2,BD,AddResponse,AddConfidence,AddDate
2,30,3,BA,AddResponse,AddConfidence,AddDate
3,30,4,BA,AddResponse,AddConfidence,AddDate
4,30,5,AE,AddResponse,AddConfidence,AddDate
5,30,6,CD,AddResponse,AddConfidence,AddDate
6,30,7,BC,AddResponse,AddConfidence,AddDate
7,30,8,AC,AddResponse,AddConfidence,AddDate
8,30,9,AC,AddResponse,AddConfidence,AddDate
9,30,10,BE,AddResponse,AddConfidence,AddDate
10,30,11,DE,AddResponse,AddConfidence,AddDate
11,30,12,BA,AddResponse,AddConfidence,AddDate
12,30,13,CD,AddResponse,AddConfidence,AddDate
13,30,14,CD,AddResponse,AddConfidence,AddDate
14,30,15,AB,AddResponse,AddConfidence,AddDate
15,30,16,DE,AddResponse,AddConfidence,AddDate
16,30,17,CE,AddResponse,AddConfidence,AddDate
17,30,18,AC,AddResponse,AddConfidence,AddDate
18,30,19,CD,AddResponse,AddConfidence,AddDate
19,30,20,AE,AddResponse,AddConfidence,AddDate
20,30,21,AD,AddResponse,AddConfidence,AddDate
21,30,22,BD,AddResponse,AddConfidence,AddDate
22,30,23,AE,AddResponse,AddConfidence,AddDate
23,30,24,BA,AddResponse,AddConfidence,AddDate
24,30,25,AB,AddResponse,AddConfidence,AddDate
25,30,26,BE,AddResponse,AddConfidence,AddDate
26,30,27,BD,AddResponse,AddConfidence,AddDate
27,30,28,BE,AddResponse,AddConfidence,AddDate
28,30,29,AD,AddResponse,AddConfidence,AddDate
29,30,30,AD,AddResponse,AddConfidence,AddDate
30,30,31,BC,AddResponse,AddConfidence,AddDate
31,30,32,DE,AddResponse,AddConfidence,AddDate
32,30,33,DE,AddResponse,AddConfidence,AddDate
33,30,34,CE,AddResponse,AddConfidence,AddDate
34,30,35,CE,AddResponse,AddConfidence,AddDate
35,30,36,AB,AddResponse,AddConfidence,AddDate
36,30,37,AE,AddResponse,AddConfidence,AddDate
37,30,38,CE,AddResponse,AddConfidence,AddDate
38,30,39,AE,AddResponse,AddConfidence,AddDate
39,30,40,DE,AddResponse,AddConfidence,AddDate
40,30,41,CD,AddResponse,AddConfidence,AddDate
41,30,42,AC,AddResponse,AddConfidence,AddDate
42,30,43,AD,AddResponse,AddConfidence,AddDate
43,30,44,AC,AddResponse,AddConfidence,AddDate
44,30,45,CE,AddResponse,AddConfidence,AddDate
45,30,46,BE,AddResponse,AddConfidence,AddDate
46,30,47,BE,AddResponse,AddConfidence,AddDate
47,30,48,BE,AddResponse,AddConfidence,AddDate
48,30,49,BD,AddResponse,AddConfidence,AddDate
49,30,50,BC,AddResponse,AddConfidence,AddDate
50,30,51,BC,AddResponse,AddConfidence,AddDate
51,30,52,AC,AddResponse,AddConfidence,AddDate
52,30,53,BD,AddResponse,AddConfidence,AddDate
53,30,54,AE,AddResponse,AddConfidence,AddDate
54,30,55,CD,AddResponse,AddConfidence,AddDate
55,30,56,AD,AddResponse,AddConfidence,AddDate
56,30,57,BD,AddResponse,AddConfidence,AddDate
57,30,58,BC,AddResponse,AddConfidence,AddDate
58,30,59,CE,AddResponse,AddConfidence,AddDate
59,30,60,DE,AddResponse,AddConfidence,AddDate
60,30,61,BD,AddResponse,AddConfidence,AddDate
61,30,62,BC,AddResponse,AddConfidence,AddDate
62,30,63,AD,AddResponse,AddConfidence,AddDate
