,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,31,1,AC,AddResponse,AddConfidence,AddDate
1,31,2,BD,AddResponse,AddConfidence,AddDate
2,31,3,BA,AddResponse,AddConfidence,AddDate
3,31,4,CD,AddResponse,AddConfidence,AddDate
4,31,5,BE,AddResponse,AddConfidence,AddDate
5,31,6,BD,AddResponse,AddConfidence,AddDate
6,31,7,CE,AddResponse,AddConfidence,AddDate
7,31,8,CD,AddResponse,AddConfidence,AddDate
8,31,9,AE,AddResponse,AddConfidence,AddDate
9,31,10,AB,AddResponse,AddConfidence,AddDate
10,31,11,CD,AddResponse,AddConfidence,AddDate
11,31,12,BD,AddResponse,AddConfidence,AddDate
12,31,13,AD,AddResponse,AddConfidence,AddDate
13,31,14,AD,AddResponse,AddConfidence,AddDate
14,31,15,AD,AddResponse,AddConfidence,AddDate
15,31,16,AE,AddResponse,AddConfidence,AddDate
16,31,17,BA,AddResponse,AddConfidence,AddDate
17,31,18,AE,AddResponse,AddConfidence,AddDate
18,31,19,CE,AddResponse,AddConfidence,AddDate
19,31,20,AC,AddResponse,AddConfidence,AddDate
20,31,21,BE,AddResponse,AddConfidence,AddDate
21,31,22,CE,AddResponse,AddConfidence,AddDate
22,31,23,DE,AddResponse,AddConfidence,AddDate
23,31,24,DE,AddResponse,AddConfidence,AddDate
24,31,25,CE,AddResponse,AddConfidence,AddDate
25,31,26,BC,AddResponse,AddConfidence,AddDate
26,31,27,BA,AddResponse,AddConfidence,AddDate
27,31,28,BE,AddResponse,AddConfidence,AddDate
28,31,29,BE,AddResponse,AddConfidence,AddDate
29,31,30,CD,AddResponse,AddConfidence,AddDate
30,31,31,BD,AddResponse,AddConfidence,AddDate
31,31,32,CE,AddResponse,AddConfidence,AddDate
32,31,33,BA,AddResponse,AddConfidence,AddDate
33,31,34,DE,AddResponse,AddConfidence,AddDate
34,31,35,AE,AddResponse,AddConfidence,AddDate
35,31,36,DE,AddResponse,AddConfidence,AddDate
36,31,37,BD,AddResponse,AddConfidence,AddDate
37,31,38,AE,AddResponse,AddConfidence,AddDate
38,31,39,AE,AddResponse,AddConfidence,AddDate
39,31,40,AD,AddResponse,AddConfidence,AddDate
40,31,41,CE,AddResponse,AddConfidence,AddDate
41,31,42,AC,AddResponse,AddConfidence,AddDate
42,31,43,BD,AddResponse,AddConfidence,AddDate
43,31,44,AD,AddResponse,AddConfidence,AddDate
44,31,45,AC,AddResponse,AddConfidence,AddDate
45,31,46,CD,AddResponse,AddConfidence,AddDate
46,31,47,AB,AddResponse,AddConfidence,AddDate
47,31,48,AC,AddResponse,AddConfidence,AddDate
48,31,49,AB,AddResponse,AddConfidence,AddDate
49,31,50,BC,AddResponse,AddConfidence,AddDate
50,31,51,BE,AddResponse,AddConfidence,AddDate
51,31,52,AC,AddResponse,AddConfidence,AddDate
52,31,53,BE,AddResponse,AddConfidence,AddDate
53,31,54,BC,AddResponse,AddConfidence,AddDate
54,31,55,BC,AddResponse,AddConfidence,AddDate
55,31,56,CD,AddResponse,AddConfidence,AddDate
56,31,57,BC,AddResponse,AddConfidence,AddDate
57,31,58,AD,AddResponse,AddConfidence,AddDate
58,31,59,DE,AddResponse,AddConfidence,AddDate
59,31,60,BD,AddResponse,AddConfidence,AddDate
60,31,61,BC,AddResponse,AddConfidence,AddDate
61,31,62,AC,AddResponse,AddConfidence,AddDate
62,31,63,DE,AddResponse,AddConfidence,AddDate
