,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,44,1,AC,AddResponse,AddConfidence,AddDate
1,44,2,BD,AddResponse,AddConfidence,AddDate
2,44,3,BA,AddResponse,AddConfidence,AddDate
3,44,4,BD,AddResponse,AddConfidence,AddDate
4,44,5,AE,AddResponse,AddConfidence,AddDate
5,44,6,CE,AddResponse,AddConfidence,AddDate
6,44,7,CE,AddResponse,AddConfidence,AddDate
7,44,8,AD,AddResponse,AddConfidence,AddDate
8,44,9,BE,AddResponse,AddConfidence,AddDate
9,44,10,BE,AddResponse,AddConfidence,AddDate
10,44,11,CD,AddResponse,AddConfidence,AddDate
11,44,12,AC,AddResponse,AddConfidence,AddDate
12,44,13,CE,AddResponse,AddConfidence,AddDate
13,44,14,BC,AddResponse,AddConfidence,AddDate
14,44,15,BC,AddResponse,AddConfidence,AddDate
15,44,16,BD,AddResponse,AddConfidence,AddDate
16,44,17,AE,AddResponse,AddConfidence,AddDate
17,44,18,DE,AddResponse,AddConfidence,AddDate
18,44,19,BE,AddResponse,AddConfidence,AddDate
19,44,20,DE,AddResponse,AddConfidence,AddDate
20,44,21,CD,AddResponse,AddConfidence,AddDate
21,44,22,BD,AddResponse,AddConfidence,AddDate
22,44,23,AB,AddResponse,AddConfidence,AddDate
23,44,24,CE,AddResponse,AddConfidence,AddDate
24,44,25,BD,AddResponse,AddConfidence,AddDate
25,44,26,CD,AddResponse,AddConfidence,AddDate
26,44,27,AE,AddResponse,AddConfidence,AddDate
27,44,28,BE,AddResponse,AddConfidence,AddDate
28,44,29,AD,AddResponse,AddConfidence,AddDate
29,44,30,DE,AddResponse,AddConfidence,AddDate
30,44,31,BE,AddResponse,AddConfidence,AddDate
31,44,32,BC,AddResponse,AddConfidence,AddDate
32,44,33,AB,AddResponse,AddConfidence,AddDate
33,44,34,BD,AddResponse,AddConfidence,AddDate
34,44,35,AD,AddResponse,AddConfidence,AddDate
35,44,36,AD,AddResponse,AddConfidence,AddDate
36,44,37,BC,AddResponse,AddConfidence,AddDate
37,44,38,DE,AddResponse,AddConfidence,AddDate
38,44,39,AC,AddResponse,AddConfidence,AddDate
39,44,40,AC,AddResponse,AddConfidence,AddDate
40,44,41,CD,AddResponse,AddConfidence,AddDate
41,44,42,BC,AddResponse,AddConfidence,AddDate
42,44,43,DE,AddResponse,AddConfidence,AddDate
43,44,44,DE,AddResponse,AddConfidence,AddDate
44,44,45,AC,AddResponse,AddConfidence,AddDate
45,44,46,AD,AddResponse,AddConfidence,AddDate
46,44,47,BE,AddResponse,AddConfidence,AddDate
47,44,48,AE,AddResponse,AddConfidence,AddDate
48,44,49,BD,AddResponse,AddConfidence,AddDate
49,44,50,CD,AddResponse,AddConfidence,AddDate
50,44,51,AC,AddResponse,AddConfidence,AddDate
51,44,52,CE,AddResponse,AddConfidence,AddDate
52,44,53,AD,AddResponse,AddConfidence,AddDate
53,44,54,BA,AddResponse,AddConfidence,AddDate
54,44,55,BC,AddResponse,AddConfidence,AddDate
55,44,56,BA,AddResponse,AddConfidence,AddDate
56,44,57,AB,AddResponse,AddConfidence,AddDate
57,44,58,CD,AddResponse,AddConfidence,AddDate
58,44,59,AC,AddResponse,AddConfidence,AddDate
59,44,60,AE,AddResponse,AddConfidence,AddDate
60,44,61,CE,AddResponse,AddConfidence,AddDate
61,44,62,BA,AddResponse,AddConfidence,AddDate
62,44,63,AE,AddResponse,AddConfidence,AddDate
