,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,4,1,AC,AddResponse,AddConfidence,AddDate
1,4,2,BD,AddResponse,AddConfidence,AddDate
2,4,3,BA,AddResponse,AddConfidence,AddDate
3,4,4,AC,AddResponse,AddConfidence,AddDate
4,4,5,AD,AddResponse,AddConfidence,AddDate
5,4,6,BE,AddResponse,AddConfidence,AddDate
6,4,7,BC,AddResponse,AddConfidence,AddDate
7,4,8,CE,AddResponse,AddConfidence,AddDate
8,4,9,DE,AddResponse,AddConfidence,AddDate
9,4,10,CE,AddResponse,AddConfidence,AddDate
10,4,11,AC,AddResponse,AddConfidence,AddDate
11,4,12,AD,AddResponse,AddConfidence,AddDate
12,4,13,AC,AddResponse,AddConfidence,AddDate
13,4,14,BC,AddResponse,AddConfidence,AddDate
14,4,15,AB,AddResponse,AddConfidence,AddDate
15,4,16,BE,AddResponse,AddConfidence,AddDate
16,4,17,DE,AddResponse,AddConfidence,AddDate
17,4,18,BD,AddResponse,AddConfidence,AddDate
18,4,19,AD,AddResponse,AddConfidence,AddDate
19,4,20,BE,AddResponse,AddConfidence,AddDate
20,4,21,BA,AddResponse,AddConfidence,AddDate
21,4,22,BD,AddResponse,AddConfidence,AddDate
22,4,23,AD,AddResponse,AddConfidence,AddDate
23,4,24,CD,AddResponse,AddConfidence,AddDate
24,4,25,BA,AddResponse,AddConfidence,AddDate
25,4,26,AE,AddResponse,AddConfidence,AddDate
26,4,27,CD,AddResponse,AddConfidence,AddDate
27,4,28,CD,AddResponse,AddConfidence,AddDate
28,4,29,DE,AddResponse,AddConfidence,AddDate
29,4,30,BA,AddResponse,AddConfidence,AddDate
30,4,31,BD,AddResponse,AddConfidence,AddDate
31,4,32,AC,AddResponse,AddConfidence,AddDate
32,4,33,AE,AddResponse,AddConfidence,AddDate
33,4,34,AE,AddResponse,AddConfidence,AddDate
34,4,35,CD,AddResponse,AddConfidence,AddDate
35,4,36,BC,AddResponse,AddConfidence,AddDate
36,4,37,AD,AddResponse,AddConfidence,AddDate
37,4,38,CE,AddResponse,AddConfidence,AddDate
38,4,39,AD,AddResponse,AddConfidence,AddDate
39,4,40,BD,AddResponse,AddConfidence,AddDate
40,4,41,AC,AddResponse,AddConfidence,AddDate
41,4,42,DE,AddResponse,AddConfidence,AddDate
42,4,43,CE,AddResponse,AddConfidence,AddDate
43,4,44,CD,AddResponse,AddConfidence,AddDate
44,4,45,BC,AddResponse,AddConfidence,AddDate
45,4,46,BC,AddResponse,AddConfidence,AddDate
46,4,47,AC,AddResponse,AddConfidence,AddDate
47,4,48,AE,AddResponse,AddConfidence,AddDate
48,4,49,BE,AddResponse,AddConfidence,AddDate
49,4,50,BC,AddResponse,AddConfidence,AddDate
50,4,51,AB,AddResponse,AddConfidence,AddDate
51,4,52,CD,AddResponse,AddConfidence,AddDate
52,4,53,DE,AddResponse,AddConfidence,AddDate
53,4,54,CE,AddResponse,AddConfidence,AddDate
54,4,55,AE,AddResponse,AddConfidence,AddDate
55,4,56,BE,AddResponse,AddConfidence,AddDate
56,4,57,BE,AddResponse,AddConfidence,AddDate
57,4,58,AE,AddResponse,AddConfidence,AddDate
58,4,59,AB,AddResponse,AddConfidence,AddDate
59,4,60,CE,AddResponse,AddConfidence,AddDate
60,4,61,DE,AddResponse,AddConfidence,AddDate
61,4,62,BD,AddResponse,AddConfidence,AddDate
62,4,63,BD,AddResponse,AddConfidence,AddDate
