,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,17,1,AC,AddResponse,AddConfidence,AddDate
1,17,2,BD,AddResponse,AddConfidence,AddDate
2,17,3,BA,AddResponse,AddConfidence,AddDate
3,17,4,AC,AddResponse,AddConfidence,AddDate
4,17,5,AC,AddResponse,AddConfidence,AddDate
5,17,6,BC,AddResponse,AddConfidence,AddDate
6,17,7,BC,AddResponse,AddConfidence,AddDate
7,17,8,BC,AddResponse,AddConfidence,AddDate
8,17,9,AE,AddResponse,AddConfidence,AddDate
9,17,10,BD,AddResponse,AddConfidence,AddDate
10,17,11,BE,AddResponse,AddConfidence,AddDate
11,17,12,BA,AddResponse,AddConfidence,AddDate
12,17,13,AB,AddResponse,AddConfidence,AddDate
13,17,14,CE,AddResponse,AddConfidence,AddDate
14,17,15,AD,AddResponse,AddConfidence,AddDate
15,17,16,AC,AddResponse,AddConfidence,AddDate
16,17,17,CD,AddResponse,AddConfidence,AddDate
17,17,18,AE,AddResponse,AddConfidence,AddDate
18,17,19,BE,AddResponse,AddConfidence,AddDate
19,17,20,AE,AddResponse,AddConfidence,AddDate
20,17,21,DE,AddResponse,AddConfidence,AddDate
21,17,22,BC,AddResponse,AddConfidence,AddDate
22,17,23,CE,AddResponse,AddConfidence,AddDate
23,17,24,CD,AddResponse,AddConfidence,AddDate
24,17,25,CE,AddResponse,AddConfidence,AddDate
25,17,26,CE,AddResponse,AddConfidence,AddDate
26,17,27,BE,AddResponse,AddConfidence,AddDate
27,17,28,AB,AddResponse,AddConfidence,AddDate
28,17,29,AB,AddResponse,AddConfidence,AddDate
29,17,30,AE,AddResponse,AddConfidence,AddDate
30,17,31,BD,AddResponse,AddConfidence,AddDate
31,17,32,BD,AddResponse,AddConfidence,AddDate
32,17,33,DE,AddResponse,AddConfidence,AddDate
33,17,34,AE,AddResponse,AddConfidence,AddDate
34,17,35,AE,AddResponse,AddConfidence,AddDate
35,17,36,CD,AddResponse,AddConfidence,AddDate
36,17,37,AC,AddResponse,AddConfidence,AddDate
37,17,38,AD,AddResponse,AddConfidence,AddDate
38,17,39,CD,AddResponse,AddConfidence,AddDate
39,17,40,CE,AddResponse,AddConfidence,AddDate
40,17,41,AD,AddResponse,AddConfidence,AddDate
41,17,42,BC,AddResponse,AddConfidence,AddDate
42,17,43,AC,AddResponse,AddConfidence,AddDate
43,17,44,DE,AddResponse,AddConfidence,AddDate
44,17,45,BA,AddResponse,AddConfidence,AddDate
45,17,46,DE,AddResponse,AddConfidence,AddDate
46,17,47,BD,AddResponse,AddConfidence,AddDate
47,17,48,BE,AddResponse,AddConfidence,AddDate
48,17,49,BD,AddResponse,AddConfidence,AddDate
49,17,50,AD,AddResponse,AddConfidence,AddDate
50,17,51,AD,AddResponse,AddConfidence,AddDate
51,17,52,CD,AddResponse,AddConfidence,AddDate
52,17,53,CE,AddResponse,AddConfidence,AddDate
53,17,54,BE,AddResponse,AddConfidence,AddDate
54,17,55,AC,AddResponse,AddConfidence,AddDate
55,17,56,BA,AddResponse,AddConfidence,AddDate
56,17,57,BE,AddResponse,AddConfidence,AddDate
57,17,58,BC,AddResponse,AddConfidence,AddDate
58,17,59,BD,AddResponse,AddConfidence,AddDate
59,17,60,DE,AddResponse,AddConfidence,AddDate
60,17,61,DE,AddResponse,AddConfidence,AddDate
61,17,62,AD,AddResponse,AddConfidence,AddDate
62,17,63,CD,AddResponse,AddConfidence,AddDate
