,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,11,1,AC,AddResponse,AddConfidence,AddDate
1,11,2,BD,AddResponse,AddConfidence,AddDate
2,11,3,BA,AddResponse,AddConfidence,AddDate
3,11,4,BC,AddResponse,AddConfidence,AddDate
4,11,5,BC,AddResponse,AddConfidence,AddDate
5,11,6,AE,AddResponse,AddConfidence,AddDate
6,11,7,AC,AddResponse,AddConfidence,AddDate
7,11,8,AC,AddResponse,AddConfidence,AddDate
8,11,9,AD,AddResponse,AddConfidence,AddDate
9,11,10,CD,AddResponse,AddConfidence,AddDate
10,11,11,CE,AddResponse,AddConfidence,AddDate
11,11,12,AE,AddResponse,AddConfidence,AddDate
12,11,13,CD,AddResponse,AddConfidence,AddDate
13,11,14,BD,AddResponse,AddConfidence,AddDate
14,11,15,BE,AddResponse,AddConfidence,AddDate
15,11,16,CE,AddResponse,AddConfidence,AddDate
16,11,17,CD,AddResponse,AddConfidence,AddDate
17,11,18,BA,AddResponse,AddConfidence,AddDate
18,11,19,CD,AddResponse,AddConfidence,AddDate
19,11,20,AD,AddResponse,AddConfidence,AddDate
20,11,21,DE,AddResponse,AddConfidence,AddDate
21,11,22,AD,AddResponse,AddConfidence,AddDate
22,11,23,AC,AddResponse,AddConfidence,AddDate
23,11,24,DE,AddResponse,AddConfidence,AddDate
24,11,25,BE,AddResponse,AddConfidence,AddDate
25,11,26,DE,AddResponse,AddConfidence,AddDate
26,11,27,DE,AddResponse,AddConfidence,AddDate
27,11,28,AD,AddResponse,AddConfidence,AddDate
28,11,29,BE,AddResponse,AddConfidence,AddDate
29,11,30,AE,AddResponse,AddConfidence,AddDate
30,11,31,DE,AddResponse,AddConfidence,AddDate
31,11,32,CE,AddResponse,AddConfidence,AddDate
32,11,33,CD,AddResponse,AddConfidence,AddDate
33,11,34,CD,AddResponse,AddConfidence,AddDate
34,11,35,BC,AddResponse,AddConfidence,AddDate
35,11,36,AE,AddResponse,AddConfidence,AddDate
36,11,37,CE,AddResponse,AddConfidence,AddDate
37,11,38,AC,AddResponse,AddConfidence,AddDate
38,11,39,BC,AddResponse,AddConfidence,AddDate
39,11,40,BD,AddResponse,AddConfidence,AddDate
40,11,41,CE,AddResponse,AddConfidence,AddDate
41,11,42,AB,AddResponse,AddConfidence,AddDate
42,11,43,DE,AddResponse,AddConfidence,AddDate
43,11,44,BE,AddResponse,AddConfidence,AddDate
44,11,45,AB,AddResponse,AddConfidence,AddDate
45,11,46,BD,AddResponse,AddConfidence,AddDate
46,11,47,BD,AddResponse,AddConfidence,AddDate
47,11,48,BA,AddResponse,AddConfidence,AddDate
48,11,49,AE,AddResponse,AddConfidence,AddDate
49,11,50,AD,AddResponse,AddConfidence,AddDate
50,11,51,BE,AddResponse,AddConfidence,AddDate
51,11,52,BD,AddResponse,AddConfidence,AddDate
52,11,53,CE,AddResponse,AddConfidence,AddDate
53,11,54,AD,AddResponse,AddConfidence,AddDate
54,11,55,AC,AddResponse,AddConfidence,AddDate
55,11,56,BD,AddResponse,AddConfidence,AddDate
56,11,57,AB,AddResponse,AddConfidence,AddDate
57,11,58,AC,AddResponse,AddConfidence,AddDate
58,11,59,BC,AddResponse,AddConfidence,AddDate
59,11,60,BA,AddResponse,AddConfidence,AddDate
60,11,61,BE,AddResponse,AddConfidence,AddDate
61,11,62,BC,AddResponse,AddConfidence,AddDate
62,11,63,AE,AddResponse,AddConfidence,AddDate
