,Subject,TrialNumber,AudioStimulus,VisualStimulus,Response,DateTimeOfResponse,ResponseTime
0,5,1,3,1,AddResponse,AddDate,0.0
1,5,2,2,3,AddResponse,AddDate,0.0
2,5,3,1,5,AddResponse,AddDate,0.0
3,5,4,0,3,AddResponse,AddDate,0.0
4,5,5,1,1,AddResponse,AddDate,0.0
5,5,6,1,3,AddResponse,AddDate,0.0
6,5,7,2,1,AddResponse,AddDate,0.0
7,5,8,0,1,AddResponse,AddDate,0.0
8,5,9,1,3,AddResponse,AddDate,0.0
9,5,10,1,0,AddResponse,AddDate,0.0
10,5,11,2,1,AddResponse,AddDate,0.0
11,5,12,2,4,AddResponse,AddDate,0.0
12,5,13,0,4,AddResponse,AddDate,0.0
13,5,14,0,0,AddResponse,AddDate,0.0
14,5,15,2,0,AddResponse,AddDate,0.0
15,5,16,2,2,AddResponse,AddDate,0.0
16,5,17,1,2,AddResponse,AddDate,0.0
17,5,18,2,2,AddResponse,AddDate,0.0
18,5,19,0,4,AddResponse,AddDate,0.0
19,5,20,0,3,AddResponse,AddDate,0.0
20,5,21,1,3,AddResponse,AddDate,0.0
21,5,22,0,0,AddResponse,AddDate,0.0
22,5,23,2,1,AddResponse,AddDate,0.0
23,5,24,2,0,AddResponse,AddDate,0.0
24,5,25,2,0,AddResponse,AddDate,0.0
25,5,26,1,2,AddResponse,AddDate,0.0
26,5,27,1,4,AddResponse,AddDate,0.0
27,5,28,0,1,AddResponse,AddDate,0.0
28,5,29,1,4,AddResponse,AddDate,0.0
29,5,30,0,4,AddResponse,AddDate,0.0
30,5,31,1,2,AddResponse,AddDate,0.0
31,5,32,0,1,AddResponse,AddDate,0.0
32,5,33,1,1,AddResponse,AddDate,0.0
33,5,34,0,2,AddResponse,AddDate,0.0
34,5,35,1,2,AddResponse,AddDate,0.0
35,5,36,1,0,AddResponse,AddDate,0.0
36,5,37,2,4,AddResponse,AddDate,0.0
37,5,38,0,2,AddResponse,AddDate,0.0
38,5,39,1,0,AddResponse,AddDate,0.0
39,5,40,2,0,AddResponse,AddDate,0.0
40,5,41,0,2,AddResponse,AddDate,0.0
41,5,42,1,2,AddResponse,AddDate,0.0
42,5,43,2,2,AddResponse,AddDate,0.0
43,5,44,2,2,AddResponse,AddDate,0.0
44,5,45,1,1,AddResponse,AddDate,0.0
45,5,46,0,3,AddResponse,AddDate,0.0
46,5,47,0,4,AddResponse,AddDate,0.0
47,5,48,1,1,AddResponse,AddDate,0.0
48,5,49,1,4,AddResponse,AddDate,0.0
49,5,50,2,4,AddResponse,AddDate,0.0
50,5,51,0,2,AddResponse,AddDate,0.0
51,5,52,1,0,AddResponse,AddDate,0.0
52,5,53,0,3,AddResponse,AddDate,0.0
53,5,54,2,4,AddResponse,AddDate,0.0
54,5,55,1,1,AddResponse,AddDate,0.0
55,5,56,0,2,AddResponse,AddDate,0.0
56,5,57,2,3,AddResponse,AddDate,0.0
57,5,58,0,0,AddResponse,AddDate,0.0
58,5,59,2,3,AddResponse,AddDate,0.0
59,5,60,0,4,AddResponse,AddDate,0.0
60,5,61,2,1,AddResponse,AddDate,0.0
61,5,62,0,3,AddResponse,AddDate,0.0
62,5,63,0,1,AddResponse,AddDate,0.0
63,5,64,0,1,AddResponse,AddDate,0.0
64,5,65,1,4,AddResponse,AddDate,0.0
65,5,66,2,3,AddResponse,AddDate,0.0
66,5,67,2,4,AddResponse,AddDate,0.0
67,5,68,1,3,AddResponse,AddDate,0.0
68,5,69,2,2,AddResponse,AddDate,0.0
69,5,70,0,0,AddResponse,AddDate,0.0
70,5,71,1,4,AddResponse,AddDate,0.0
71,5,72,1,0,AddResponse,AddDate,0.0
72,5,73,2,1,AddResponse,AddDate,0.0
73,5,74,0,0,AddResponse,AddDate,0.0
74,5,75,1,3,AddResponse,AddDate,0.0
75,5,76,2,3,AddResponse,AddDate,0.0
76,5,77,2,3,AddResponse,AddDate,0.0
77,5,78,2,0,AddResponse,AddDate,0.0
